Date,Inflation_Ukraine_actual,Inflation_Eurozone_actual,Counterfactual_pure,Counterfactual_weighted,theta_sovereignty
2009-06-01,15.0,-0.1,8.78796222330645,8.78796222330645,1.0
2009-07-01,15.5,-0.7,8.664385164816665,8.664385164816665,1.0
2009-08-01,15.3,-0.2,9.412929257599252,9.412929257599252,1.0
2009-09-01,15.0,-0.3,9.242860688854144,9.242860688854144,1.0
2009-10-01,14.1,-0.1,8.803260853452484,8.803260853452484,1.0
2009-11-01,13.6,0.5,7.981621523438612,7.981621523438612,1.0
2009-12-01,12.3,0.9,6.750377418535711,6.750377418535711,1.0
2010-01-01,11.1,1.0,5.271897636917514,10.517189763691752,0.1
2010-02-01,11.5,0.8,3.7754990477807606,10.727549904778076,0.1
2010-03-01,11.0,1.6,3.3161528506024007,10.23161528506024,0.1
2010-04-01,9.7,1.6,1.8673267415109633,8.916732674151097,0.1
2010-05-01,8.5,1.7,0.7643072624669718,7.726430726246697,0.1
2010-06-01,6.9,1.5,-0.22767808384546528,6.187232191615454,0.1
2010-07-01,6.8,1.7,-0.515252323803139,6.068474767619686,0.1
2010-08-01,8.3,1.6,-1.0463739854657121,7.3653626014534295,0.1
2010-09-01,10.5,1.9,-1.2140912754498645,9.328590872455015,0.1
2010-10-01,10.1,1.9,-1.6496245497715551,8.925037545022844,0.1
2010-11-01,9.2,1.9,-2.0193565298856155,8.078064347011438,0.1
2010-12-01,9.1,2.2,-2.1112099580900834,7.978879004190992,0.1
2011-01-01,8.2,2.3,-2.3175719860782342,7.148242801392176,0.1
2011-02-01,7.2,2.4,-2.466629561723177,6.2333370438276825,0.1
2011-03-01,7.7,2.7,-2.297487961925513,6.700251203807449,0.1
2011-04-01,9.4,2.8,-2.0975628958582266,8.250243710414178,0.1
2011-05-01,11.0,2.7,-2.1455884383793613,9.685441156162064,0.1
2011-06-01,11.9,2.7,-2.2062048365435185,10.489379516345648,0.1
2011-07-01,10.6,2.5,-2.46652296106668,9.293347703893332,0.1
2011-08-01,8.9,2.5,-2.546173747867786,7.755382625213221,0.1
2011-09-01,5.9,3.0,-2.027687788904049,5.107231221109595,0.1
2011-10-01,5.4,3.0,-1.8551230555733387,4.674487694442666,0.1
2011-11-01,5.2,3.0,-1.614136402609394,4.518586359739061,0.1
2011-12-01,4.6,2.8,-1.4286889013448647,3.997131109865513,0.1
2012-01-01,3.7,2.7,-1.1618484208017952,3.2138151579198206,0.1
2012-02-01,3.0,2.7,-0.8906665319033298,2.6109333468096674,0.1
2012-03-01,1.9,2.7,-0.5518473479403716,1.654815265205963,0.1
2012-04-01,0.6,2.6,-0.3245350646542051,0.5075464935345795,0.1
2012-05-01,-0.5,2.4,-0.30300122778464145,-0.4803001227784642,0.1
2012-06-01,-1.2,2.4,-0.05577607565963705,-1.0855776075659638,0.1
2012-07-01,-0.1,2.4,0.20788672378876427,-0.06921132762112359,0.1
2012-08-01,0.0,2.6,0.7499597986057738,0.07499597986057738,0.1
2012-09-01,0.0,2.6,1.2200582130800097,0.12200582130800097,0.1
2012-10-01,0.0,2.5,1.493155283261804,0.14931552832618042,0.1
2012-11-01,-0.2,2.2,1.4235264038129753,-0.03764735961870247,0.1
2012-12-01,-0.2,2.2,1.7393053177795599,-0.006069468222044017,0.1
2013-01-01,-0.2,2.0,1.7623607878407057,-0.0037639212159294444,0.1
2013-02-01,-0.5,1.9,1.8305340177305134,-0.26694659822694866,0.1
2013-03-01,-0.8,1.7,1.8168010792190106,-0.538319892078099,0.1
2013-04-01,-0.8,1.2,1.3512534400488068,-0.5848746559951195,0.1
2013-05-01,-0.4,1.4,1.7412456792569608,-0.18587543207430396,0.1
2013-06-01,-0.1,1.6,2.1670542985087833,0.12670542985087835,0.1
2013-07-01,0.0,1.6,2.238104379084989,0.22381043790849892,0.1
2013-08-01,-0.4,1.3,1.9890294907836097,-0.16109705092163906,0.1
2013-09-01,-0.5,1.1,1.8491834979168251,-0.2650816502083175,0.1
2013-10-01,-0.1,0.7,1.4820832896932865,0.058208328969328635,0.1
2013-11-01,0.2,0.9,1.6824238972467436,0.34824238972467436,0.1
2013-12-01,0.5,0.8,1.428419224612329,0.5928419224612329,0.1
2014-01-01,0.5,0.8,1.3310861325183003,1.3310861325183003,1.0
2014-02-01,1.2,0.7,1.2182949392736138,1.2182949392736138,1.0
2014-03-01,3.4,0.5,1.0849836595044806,1.0849836595044806,1.0
2014-04-01,6.9,0.7,1.4037900562207686,1.4037900562207686,1.0
2014-05-01,10.9,0.5,1.1543107318497017,1.1543107318497017,1.0
2014-06-01,12.0,0.5,1.0941029234355155,1.0941029234355155,1.0
